Date,INTC,Nasdaq,AMD,NVDA,QCOM,MU,META,AMZN
2020-01-02,5.972711086273193,53.666465759277344,209.1502685546875,5.972711086273193,68.12371826171875,72.79602813720703,209.1502685546875,94.90049743652344
2020-01-03,5.87711238861084,53.013710021972656,208.04360961914062,5.87711238861084,67.78942108154297,72.08829498291016,208.04360961914062,93.74849700927734
2020-01-06,5.901756763458252,52.86376953125,211.96180725097656,5.901756763458252,69.46092224121094,72.66272735595703,211.96180725097656,95.14399719238281
2020-01-07,5.973208904266357,51.98167037963867,212.42041015625,5.973208904266357,69.4175796508789,72.32097625732422,212.42041015625,95.34300231933594
2020-01-08,5.984412670135498,52.0169563293457,214.57394409179688,5.984412670135498,69.96461486816406,73.48435974121094,214.57394409179688,94.59850311279297
2020-01-09,6.050136089324951,52.30804443359375,217.64471435546875,6.050136089324951,70.7373275756836,75.04521942138672,217.64471435546875,95.05249786376953
2020-01-10,6.08250093460083,51.99049377441406,217.40541076660156,6.08250093460083,71.2305679321289,75.21488189697266,217.40541076660156,94.15799713134766
2020-01-13,6.273200988769531,52.56385803222656,221.24386596679688,6.273200988769531,71.70386505126953,76.82178497314453,221.24386596679688,94.56500244140625
2020-01-14,6.156191825866699,52.42272186279297,218.40240478515625,6.156191825866699,71.28784942626953,75.78443145751953,218.40240478515625,93.47200012207031
2020-01-15,6.11361837387085,51.99049377441406,220.4861297607422,6.11361837387085,71.70236206054688,75.45967102050781,220.4861297607422,93.10099792480469
2020-01-16,6.197268962860107,52.6255989074707,221.10427856445312,6.197268962860107,72.32512664794922,76.4049072265625,221.10427856445312,93.89700317382812
2020-01-17,6.205982685089111,52.57267761230469,221.47315979003906,6.205982685089111,73.7544937133789,77.25079345703125,221.47315979003906,93.23600006103516
2020-01-21,6.1726226806640625,53.4106559753418,220.77528381347656,6.1726226806640625,73.95427703857422,76.72725677490234,220.77528381347656,94.5999984741211
2020-01-22,6.226646423339844,55.33362579345703,220.65562438964844,6.226646423339844,74.03150177001953,77.00114440917969,220.65562438964844,94.37300109863281
2020-01-23,6.295108318328857,55.85404968261719,219.10031127929688,6.295108318328857,74.06637573242188,77.37198638916016,219.10031127929688,94.22899627685547
2020-01-24,6.2358574867248535,60.3968391418457,217.28578186035156,6.2358574867248535,73.07294464111328,77.14899444580078,217.28578186035156,93.08200073242188
2020-01-27,5.979930877685547,57.94460678100586,214.22500610351562,5.979930877685547,71.43831634521484,74.88040161132812,214.22500610351562,91.41699981689453
2020-01-28,6.173371315002441,59.37360382080078,217.13623046875,6.173371315002441,72.36797332763672,76.99872589111328,217.13623046875,92.6624984741211
2020-01-29,6.112873077392578,58.50914764404297,222.5598907470703,6.112873077392578,72.67039489746094,78.61048126220703,222.5598907470703,92.9000015258789
2020-01-30,6.119594573974609,58.63264846801758,208.90101623535156,6.119594573974609,72.53138732910156,78.49659729003906,208.90101623535156,93.53399658203125
2020-01-31,5.886073589324951,56.39213180541992,201.30389404296875,5.886073589324951,71.45475769042969,75.01612854003906,201.30389404296875,100.43599700927734
2020-02-03,5.983166217803955,56.82435989379883,203.57705688476562,5.983166217803955,74.03099822998047,74.81011199951172,203.57705688476562,100.20999908447266
2020-02-04,6.1524577140808105,57.74174118041992,209.2001190185547,6.1524577140808105,72.0944595336914,77.27985382080078,209.2001190185547,102.4834976196289
2020-02-05,6.242828845977783,59.400062561035156,209.47927856445312,6.242828845977783,72.15225219726562,77.91004943847656,209.47927856445312,101.99349975585938
2020-02-06,6.329715251922607,59.47098159790039,210.21707153320312,6.329715251922607,73.54723358154297,78.82135772705078,210.21707153320312,102.5114974975586
2020-02-07,6.263490200042725,58.52248764038086,211.692626953125,6.263490200042725,73.69670867919922,77.74998474121094,211.692626953125,103.96399688720703
2020-02-10,6.546804428100586,58.85047149658203,212.42041015625,6.546804428100586,75.16392517089844,78.11921691894531,212.42041015625,106.69550323486328
2020-02-11,6.669290542602539,59.754642486572266,206.56805419921875,6.669290542602539,75.1694107055664,77.64790344238281,206.56805419921875,107.54000091552734
2020-02-12,6.785056114196777,59.7989616394043,210.12733459472656,6.785056114196777,75.64170837402344,79.49188232421875,210.12733459472656,108.0
2020-02-13,6.741239070892334,59.78125,212.50018310546875,6.741239070892334,75.46186065673828,78.92581939697266,212.50018310546875,107.49349975585938
2020-02-14,7.214504718780518,59.63053894042969,213.5370635986328,7.214504718780518,75.7647705078125,78.94526672363281,213.5370635986328,106.74349975585938
2020-02-18,7.383296489715576,58.62887191772461,217.1461944580078,7.383296489715576,75.71145629882812,77.4997329711914,217.1461944580078,107.78350067138672
2020-02-19,7.834654331207275,59.488712310791016,216.83712768554688,7.834654331207275,76.06121063232422,78.62213134765625,216.83712768554688,108.51100158691406
2020-02-20,7.685281753540039,58.01723098754883,213.9358673095703,7.685281753540039,75.63573455810547,77.8155517578125,213.9358673095703,107.65499877929688
2020-02-21,7.321057319641113,57.03328323364258,209.54905700683594,7.321057319641113,73.9896469116211,76.05420684814453,209.54905700683594,104.79850006103516
2020-02-24,6.8034772872924805,54.74627685546875,200.1174774169922,6.8034772872924805,70.82501220703125,72.44158172607422,200.1174774169922,100.4645004272461
2020-02-25,6.523900032043457,52.94681167602539,196.17933654785156,6.523900032043457,69.1739501953125,69.98783874511719,196.17933654785156,98.63700103759766
2020-02-26,6.663314342498779,52.87590026855469,196.6080322265625,6.663314342498779,69.40959930419922,71.09809112548828,196.6080322265625,98.97949981689453
2020-02-27,6.292397499084473,49.48971176147461,189.18040466308594,6.292397499084473,65.66854858398438,66.45054626464844,189.18040466308594,94.21499633789062
